"Kinematic viscosity, m<SUP>2</SUP>/s","Pressure, kPa","Temperature, K","Viscosity, Pa&#8226;s",salt_name
,101,298.15,0.1954,1-hexyl-3-methylimidazolium tetrafluoroborate
,101.325,298.1,0.088,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium trifluoro(perfluoropropyl)borate"
,101.325,298.1,0.091,"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(perfluoropropyl)borate Chemical Formula: C12H22BF10NO"
,101.325,298.1,0.07,"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium trifluoro(perfluoropropyl)borate"
,101.325,298.1,0.076,"2-methoxy-N,N,N-trimethylethan-1-aminium trifluoro(perfluoropropyl)borate"
,101.325,298.1,0.087,"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(perfluoroethyl)borate"
,101.325,298.1,0.068,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium trifluoro(perfluoroethyl)borate"
,101.325,298.1,0.058,"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium trifluoro(perfluoroethyl)borate"
,101.325,298.1,0.104,"N,N-diethyl-N-methylbutan-1-aminium trifluoro(perfluoroethyl)borate"
,101.325,298.1,0.151,"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(trifluoromethyl)borate"
,101.325,298.1,0.102,"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium trifluoro(perfluorobutyl)borate"
,101.325,298.1,0.118,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium trifluoro(perfluorobutyl)borate"
,101.325,298.1,0.135,"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(perfluorobutyl)borate"
,101.325,298.1,0.335,"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium tetrafluoroborate"
,101.325,298.1,0.426,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate"
,101.325,298.1,0.094,"N,N-diethyl-N-methylpropan-1-aminium bis((trifluoromethyl)sulfonyl)amide"
,101.325,298.1,0.12,"N,N-diethyl-N-methylbutan-1-aminium bis((trifluoromethyl)sulfonyl)amide"
,101.325,298.1,0.06,"N-ethyl-N,N-dimethyl-2- methoxyethylammonium bis(trifluoromethylsulfonyl)imide"
,101.325,298.1,0.069,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide"
,101.325,298.1,0.085,"N,N,N-triethyl-2-methoxyethan-1-aminium bis((trifluoromethyl)sulfonyl)amide"
,101.325,298.1,0.21,"N,N-diethyl-N-methylbutan-1-aminium trifluoro(trifluoromethyl)borate"
,101.325,298.1,0.097,"2-methoxy-N-ethyl-N,N-dimethylethan-1-aminium trifluoro(trifluoromethyl)borate"
,101.325,298.1,0.108,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium trifluoro(trifluoromethyl)borate"
,101.325,298.15,0.37,"3-(3-cyanopropyl)-1,2-dimethylimidazolium cyanocyanamide"
,101.325,298.15,0.352,1-butyronitrile-3-methylimidazolium tetrafluoroborate
,101.325,298.15,0.044,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,101.325,298.15,0.173,1-butyl-3-methylimidazolium hexafluorophosphate
,101.325,298.15,0.219,1-butyl-3-methylimidazolium tetrafluoroborate
,101.325,298.15,0.152,N-butyronitrilepyridinium dicyanamide
,101.325,298.15,0.409,N-butyronitrile pyridinium bis(trifluoromethanesulfonyl)imide
,101.325,298.15,0.212,1-butyl-3-methylimidazolium hexafluorophosphate
,101.325,298.15,0.0685,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.2,1.2,2-aminoethanol-2-hydroxypropanoate
,101,298.15,0.82,1-allyl-3-methylimidazolium chloride
,101.3,298.15,0.27,1-butyl-3-methylimidazolium hexafluorophosphate
,101.325,298.15,0.11,1-butyl-3-methylimidazolium tetrafluoroborate
,101.325,298,0.1198,1-butyl-3-methylimidazolium tetrafluoroborate
,101.325,298,0.03607,1-ethyl-3-methylimidazolium tetrafluoroborate
,101.325,298,0.0901,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide"
,101,298.15,0.235,triethylammonium hydrogen sulfate
,101,298.15,0.0241,triethylammonium acetate
,101,298.15,0.0341,diethylammonium hydrogen sulfate
,101,298.15,0.0164,diethylammonium acetate
,101,298.15,0.00276,trimethylammonium acetate
,101,298.15,0.0051,trimethylammonium hydrogen sulfate
,101.325,313.15,0.1042,1-butyl-3-methylimidazolium methyl sulfate
,101.325,313.15,0.275,1-methyl-3-octylimidazolium ethyl sulfate
,101.325,313.15,0.181,1-methyl-3-octylimidazolium methyl sulfate
,100,293.15,0.395,1-butyl-3-methylimidazolium hexafluorophosphate
,101,298.15,0.1103,1-butyl-3-methylimidazolium tetrafluoroborate
,101.325,298.15,0.362,ethylheptyl-di-(1-methylethyl)ammonium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,2.03,"N,N,N-tributyloctan-1-aminium trifluoromethanesulfonate"
,101.325,298.15,0.153,hexyltrimethylammonium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.574,tributyloctylammonium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.606,tributylheptylammonium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.595,tributylhexylammonium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.202,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.0755,triethylheptylammonium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.153,heptyltrimethylammonium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.181,trimethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.167,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide
,101,298.1,0.0368,1-ethyl-3-methylimidazolium tetrafluoroborate
,101,298.1,0.0174,1-ethyl-3-methylimidazolium dicyanamide
,101.325,313,0.0054,"1,1,3,3-tetramethylguanidinium imidazol-1-ide"
,101.325,293.15,1.238,1-methyl-3-octylimidazolium nitrate
,101.325,318.15,0.067,1-butyl-3-methylimidazolium nitrate
,101.325,293.15,0.0665,1-ethyl-3-methylimidazolium tetrafluoroborate
,101.325,293.15,0.154,1-butyl-3-methylimidazolium tetrafluoroborate
,100,298.15,0.438,tetradecyl(trihexyl)phosphonium dicyanamide
,101.325,298.15,0.1014,1-ethyl-3-methylimidazolium ethyl sulfate
,101.325,363.15,0.171,tetrabutylammonium perfluorobutanesulfonate
,101.325,313.15,0.138,1-methyl-3-hexylimidazolium perfluorobutanesulfonate
,101.325,313.15,0.14,1-methyl-3-hexylimidazolium perfluorobutanesulfonate
,101.325,363.15,0.165,tetrabutylammonium perfluorobutanesulfonate
,101.325,298.15,0.037,1-ethyl-3-methylimidazolium tetrafluoroborate
,101.325,298.15,0.103,1-propyl-3-methylimidazolium tetrafluoroborate
,101.325,298.15,0.1024,1-butyl-3-methylimidazolium tetrafluoroborate
,101.325,298.15,4,3-hexyl-1-methyl-1H-imidazolium bromide
,101.325,298.15,0.175,1-hexyl-3-methylimidazolium tetrafluoroborate
,101.325,298.15,0.331,1-methyl-3-octylimidazolium tetrafluoroborate
,101.325,298.15,5.068,1-methyl-3-octylimidazolium bromide
,101.325,293,1.296,1-methyl-3-(3-sulfopropyl)-imidazolium hydrogensulfate
,101.325,293,1.592,1-butyl-3-(4-sulfobutyl)-imidazolium hydrogensulfate
,101.325,293,1.427,1-methyl-3-(4-sulfobutyl)-imidazolium hydrogensulfate
,101.325,293,1,1-butyl-3-(3-sulfopropyl)-imidazolium hydrogensulfate
,101.325,303.15,0.176,1-butyl-3-methylimidazolium hexafluorophosphate
,101.325,303.15,0.92,trihexyl(tetradecyl)phosphonium chloride
,101.325,303.15,0.045,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
,101.325,303.15,0.077,1-butyl-3-methylimidazolium bis(perfluoroethylsulfonyl)imide
,101.325,303.15,0.026,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,101.325,303.15,0.554,1-[2-(ethylsulfonyl)ethyl]-3-methyl-1H-imidazol-3-ium trifluoromethanesulfonate
,101.325,298.15,0.221,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate
,101.325,298.15,0.188,1-butyl-3-methylimidazolium methyl sulfate
,101.325,298.15,1.708,methyltrioctylammonium trifluoroacetate
,101.325,298.15,0.336,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.418,1-butyl-3-methylimidazolium trifluoroacetate
,101.325,298.15,0.889,1-butyl-3-methylimidazolium octyl sulfate
,101.325,298.15,0.0832,1-butyl-3-methylimidazolium trifluoromethanesulfonate
,101.325,298.15,0.0505,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,101.325,298.15,0.0365,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.639,3-decyl-1-methyl-1H-imidazolium thiocyanate
,101.325,298.15,0.1202,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide
,101.325,298.15,0.095,1-octyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.0793,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.0984,1-ethyl-3-methylimidazolium ethyl sulfate
,101.325,298.15,0.0801,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.0236,1-ethyl-3-methylimidazolium thiocyanate
,101.325,298.15,0.0288,1-butyl-3-methylimidazolium dicyanamide
,101.325,298.15,0.0365,1-butyl-1-methylpyrrolidinium dicyanamide
,101.325,298.15,0.31,1-butyl-3-methylimidazolium hexafluorophosphate
,101,298.15,0.456,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
,101,298.15,0.1007,1-butyl-3-methylimidazolium tetrafluoroborate
,101.325,298.15,1.617,"N-ethyl-N-(2-hydroxyethyl)-N,N-dimethylammonium ethyl sulfate"
,101.325,298.15,0.333,"N-ethyl-N,N-dimethyl-N-butylammonium ethyl sulfate"
,101.325,298.15,1.354,"N-ethyl-2-hydroxy-N,N-dimethylethanaminium 1-butanesulfonate"
,101.325,298.15,0.085,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.063,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.311,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.2,1.5,1-butyl-3-methylimidazolium bromide
,101,298.15,0.1718,1-hexyl-3-methylimidazolium tetrafluoroborate
,101.325,298.15,0.0341,diethylammonium hydrogen sulfate
,101.325,298.15,0.01636,diethylammonium acetate
,101.325,298.15,0.02414,triethylammonium acetate
,101.325,298.15,0.235,triethylammonium hydrogen sulfate
,101.325,298.15,0.111,1-butyl-3-methylimidazolium methanesulfonate
,101.325,298.15,0.0329,"1,3-dimethyl-1H-imidazolium methanesulfonate"
,101.325,298.15,0.0319,"1,3-dibutyl-1H-imidazolium methanesulfonate"
,101.325,373,0.163,"1-butyl-2,3-dimethylimidazolium bromide"
,101.325,373,0.057,1-butyl-3-methylimidazolium bromide
,101.325,298.15,0.069,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,101.325,298.15,1.11,1-butyl-3-methylimidazolium iodide
,101.325,298.15,0.45,1-butyl-3-methylimidazolium hexafluorophosphate
,101.325,298.15,0.585,1-hexyl-3-methylimidazolium hexafluorophosphate
,101.325,298.15,0.682,1-octyl-3-methylimidazolium hexafluorophosphate
,101.325,294.15,0.13,1-butyl-3-methylimidazolium tetrafluoroborate
,101.325,298.1,0.032,ethylammonium nitrate
,101.325,298.1,1.2,ethylammonium glycolate
,101.325,298.1,0.208,ethylammonium butyrate
,101.325,298.1,0.229,2-methylbutylammonium formate
,101.325,298.1,0.078,pentylammonium formate
,101.325,298.1,0.075,ethylammonium propionate
,101.325,298.1,0.803,ethylammonium lactate
,101.325,298.1,0.225,2-methylpropylammonium formate
,101.325,298.1,0.032,ethylammonium formate
,101.325,298.1,1.324,2-aminoethanol-2-hydroxypropanoate
,101.325,298.1,0.128,ethylammonium hydrogen sulfate
,101.325,298.1,0.07,butylammonium formate
,101.325,298.1,0.113,ethanolammonium nitrate
,101.325,298.1,0.017,methanaminium formate
,101.325,298.1,0.854,2-hydroxypropanaminium formate
,101,328.15,0.0386,1-ethylpyridinium ethyl sulfate
,101.325,298.15,0.0976,1-ethyl-3-methylimidazolium ethyl sulfate
0.0001437,101.325,318.15,,"N,N,N',N'-tetramethylguanidine 2,2,2-trifluoroacetate"
0.0001674,101.325,318.15,,"1,1,3,3-tetramethylguanidinium trifluoromethanesulfonate"
0.000388,101.325,318.15,,"1,1,3,3-tetramethylguanidinium lactate"
,101.325,313.15,0.0275,1-butyl-1-methylpyrrolidinium tetracyanoborate
,101.325,313.15,0.0938,"1,3-dimethylimidazolium dimethylphosphate"
,101.325,298.1,0.0996,"1-butyl-2,3-dimethyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide"
,101.325,293.15,0.85,1-octyl-3-methylimidazolium hexafluorophosphate
,101.325,293.15,0.078,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,101.325,293.15,0.096,1-octyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,101.325,293.15,0.124,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide
,101.325,293.15,0.168,1-hexyl-3-methylimidazolium bis(perfluoroethylsulfonyl)imide
,101.325,293.15,0.5,1-hexyl-3-methylimidazolium hexafluorophosphate
,101.325,293.15,0.209,1-decyl-3-methylimidazolium bis(perfluoroethylsulfonyl)imide
,101.325,293.15,0.199,1-octyl-3-methylimidazolium bis(perfluoroethylsulfonyl)imide
,101.325,303,0.243,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide
,101.325,303,0.207,tributylethylphosphonium diethylphosphate
,101.325,303,1.316,trihexyl(tetradecyl)phosphonium chloride
,101.325,303,0.213,tetradecyl(trihexyl)phosphonium dicyanamide
,101.325,298.15,0.0111,"1,3-dibutylimidazolium bromide"
,101.325,298.15,0.36,1-butyl-3-methylimidazolium bromide
,101.325,298.15,0.068,"1,3-diisobutylimidazolium bromide"
,101.325,298.15,0.134,1-isobutyl-3-methylimidazolium bromide
,101.325,298.1,5.8,1-methyl-3-(3-phenylpropyl)-1H-imidazolium hexafluorophosphate
,101.325,298.1,0.196,"1-methyl-3-(3-phenylpropyl)-1H-imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,101.325,298.1,0.113,1-benzyl-3-methyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide
,101.325,298.1,0.187,"1-methyl-3-(2-phenylethyl)-1H-imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,101.325,298.15,0.1095,1-butyl-1-methylpyrrolidinium thiocyanate
,,298.15,0.0936,1-hexyl-3-methylimidazolium thiocyanate
,101.325,298.15,0.0517,1-butyl-3-methylimidazolium thiocyanate
,101.325,298.15,0.0976,1-ethyl-3-methylimidazolium ethyl sulfate
,101.325,298.15,0.0976,1-ethyl-3-methylimidazolium ethyl sulfate
,101.325,293.15,0.254,1-butyl-3-methylpyridinium tetrafluoroborate
,101.325,293.15,0.223,1-butylpyridinium tetrafluoroborate
,101.325,308.15,0.0859,1-butylpyridinium trifluoromethanesulfonate
,101.325,298.15,0.25,1-butyl-2-methylpyridinium tetrafluoroborate
,101.325,293.15,0.147,1-propylpyridinium tetrafluoroborate
,101.325,298.15,0.191,1-butyl-4-methylpyridinium tetrafluoroborate
,101.325,298.15,0.0321,1-butyl-3-methylpyridinium dicyanamide
,101.325,293.15,0.668,N-octyl-3-methylpyridinium tetrafluoroborate
,101.325,298.15,1.236,tris(2-hydroxyethyl) methylammonium methylsulfate
,101.325,298.15,0.1004,1-ethyl-3-methylimidazolium ethyl sulfate
,101.325,298.15,0.36,1-methyl-3-octylimidazolium tetrafluoroborate
,101,298.15,0.1004,1-ethyl-3-methylimidazolium ethyl sulfate
,101.325,298.15,0.36,1-methyl-3-octylimidazolium tetrafluoroborate
,101.325,298.1,0.0404,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
,101.325,298.1,0.0326,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,101.325,293,0.2,1-methyl-1-propylpyrrolidin-1-ium bis((perfluoroethyl)sulfonyl)amide
,101.325,293,0.098,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide"
,101.325,293,0.79,tetraethylammonium ((perfluorobutyl)sulfonyl)((trifluoromethyl)sulfonyl)amide
,101.325,293,0.15,3-ethyl-1-methylimidazolium ((perfluorobutyl)sulfonyl)((trifluoromethyl)sulfonyl)amide
,101.325,293,0.56,1-butyl-1-methylpyrrolidinium ((perfluorobutyl)sulfonyl)((trifluoromethyl)sulfonyl)amide
,101.325,293,0.3,1-methyl-1-propylpyrrolidinium ((perfluorobutyl)sulfonyl)((trifluoromethyl)sulfonyl)amide
,101.325,293,0.036,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,101.325,293,0.35,1-butyl-1-methylpyrrolidinium bis((perfluoroethyl)sulfonyl)amide
,101.325,293,0.071,1-(2-ethoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide
,101.325,293,0.062,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide
,101.325,293,0.072,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
,101.325,293,0.095,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
,101.325,293,0.72,"1,1-dimethylpyrrolidinium ((perfluorobutyl)sulfonyl)((trifluoromethyl)sulfonyl)amide"
,101.325,298.15,0.018,ethyldiisopropylammonium formate
,101.325,298.15,0.0052,pyrrolidinium nitrate
,101.325,298.15,0.0507,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,101.325,298.15,0.0925,1-octyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.0507,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,101.325,298.15,0.0925,1-octyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.0925,1-octyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.0907,1-butyl-3-methylimidazolium trifluoromethanesulfonate
,101.325,298.15,0.1119,1-butyl-3-methylimidazolium tetrafluoroborate
,101.325,298.15,0.108,1-butyl-3-methylimidazolium tetrafluoroborate
,101.325,298.15,0.104,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide
,101.325,298.15,0.1049,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide
,101.325,298.15,0.0561,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide
,101.325,298.15,0.0557,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide
,101.325,298.15,0.0515,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,101.325,298.15,0.0509,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,101.325,298.15,0.0928,1-butyl-3-methylimidazolium trifluoromethanesulfonate
,101,298.15,0.223,1-butyl-3-methylimidazolium methyl sulfate
,101,298.15,0.0814,1-ethyl-3-methylimidazolium methylsulfate
,101.325,298.15,0.0904,1-octyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,100,343.15,0.01407,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,100,323.15,0.0249,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.0341,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.489,1-hexyl-3-methylimidazolium hexafluorophosphate
,101.325,298.15,0.21,1-hexyl-3-methylimidazolium tetrafluoroborate
,101.325,298.15,0.1112,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide
,101.325,298.15,0.0715,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,101,308.15,2,1-hexyl-3-methylimidazolium chloride
,101,318.15,0.88,1-hexyl-3-methylimidazolium chloride
,101.325,298.15,0.589,1-hexyl-3-methylimidazolium ethyl sulfate
,101.325,313.15,0.236,1-hexyl-3-methylimidazolium ethyl sulfate
,101.325,298.15,0.0755,"1,3-dimethylimidazolium methylsulfate"
,101.325,313.15,0.0408,"1,3-dimethylimidazolium methylsulfate"
,101.325,298.15,0.379,1-butyl-3-methyl-1H-imidazolium ethyl sulfate
,101.325,313.15,0.164,1-butyl-3-methyl-1H-imidazolium ethyl sulfate
,101.325,298.15,0.383,1-hexyl-3-methylimidazolium methyl sulfate
,101.325,313.15,0.164,1-hexyl-3-methylimidazolium methyl sulfate
,101.325,298.15,0.0918,1-ethyl-3-methylimidazolium ethyl sulfate
,101.325,313.15,0.0485,1-ethyl-3-methylimidazolium ethyl sulfate
,101.325,313,1.667,"1-phenyl-3,5-dimethyl-2-heptylpyrazolium methanesulfonate"
,101.325,333,0.347,"1-phenyl-3,5-dimethyl-2-heptylpyrazolium methanesulfonate"
,101.325,313,1.602,"1-phenyl-3,5-dimethyl-2-hexylpyrazolium methanesulfonate"
,101.325,333,0.315,"1-phenyl-3,5-dimethyl-2-hexylpyrazolium methanesulfonate"
,101.325,313,1.548,"1-phenyl-3,5-dimethyl-2-pentylpyrazolium methanesulfonate"
,101.325,333,0.286,"1-phenyl-3,5-dimethyl-2-pentylpyrazolium methanesulfonate"
,101.325,313,0.89,"1-phenyl-2-butyl-3,5-dimethylpyrazolium methanesulfonate"
,101.325,333,0.212,"1-phenyl-2-butyl-3,5-dimethylpyrazolium methanesulfonate"
,101.325,298.15,0.403,1-butyl-2-methylpyridinium tetrafluoroborate
,101.325,318.15,0.0999,1-butyl-2-methylpyridinium tetrafluoroborate
,101.325,358.1,0.035,1-methyl-3-propylimidazolium iodide
,101.325,363,0.03,1-methyl-3-propylimidazolium iodide
,101.325,303.15,0.062,"(ethoxymethyl)triethylphosphonium 1,2,3-triazolide"
,101.325,308.15,0.05,"(ethoxymethyl)triethylphosphonium 1,2,3-triazolide"
,101.325,293.23,0.1286,1-ethyl-3-methylimidazolium ethyl sulfate
,101.325,298.18,0.0994,1-ethyl-3-methylimidazolium ethyl sulfate
,101.325,293.16,0.1827,1-ethyl-3-methylpyridinium ethylsulfate
,101.325,298.13,0.1353,1-ethyl-3-methylpyridinium ethylsulfate
,101.325,293.25,0.09,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.19,0.0711,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,101.325,313.15,0.0284,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,101.325,323.15,0.0204,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,101.325,333.15,0.0153,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,101.325,343.15,0.0234,1-ethyl-3-methylimidazolium hexafluorophosphate
,101.325,353.15,0.0171,1-ethyl-3-methylimidazolium hexafluorophosphate
,101.325,363.15,0.0133,1-ethyl-3-methylimidazolium hexafluorophosphate
,101,278.15,0.211,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,101,298.15,0.07046,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,101,318.15,0.03022,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,101.325,308,1.441,"1-phenyl-2,3,5-trimethylpyrazolium methanesulfonate"
,101.325,313,0.84,"1-phenyl-2,3,5-trimethylpyrazolium methanesulfonate"
,101.325,333,0.162,"1-phenyl-2,3,5-trimethylpyrazolium methanesulfonate"
,101.325,308,1.666,"1-phenyl-3,5-dimethyl-2-pentylpyrazolium tetrafluoroborate"
,101.325,313,1.044,"1-phenyl-3,5-dimethyl-2-pentylpyrazolium tetrafluoroborate"
,101.325,333,0.226,"1-phenyl-3,5-dimethyl-2-pentylpyrazolium tetrafluoroborate"
,101.325,308,2.131,"1-phenyl-3,5-dimethyl-2-hexylpyrazolium tetrafluoroborate"
,101.325,313,1.285,"1-phenyl-3,5-dimethyl-2-hexylpyrazolium tetrafluoroborate"
,101.325,333,0.254,"1-phenyl-3,5-dimethyl-2-hexylpyrazolium tetrafluoroborate"
,101,323.15,1.879,1-hexyl-3-methylimidazolium chloride
,101,328.15,1.228,1-hexyl-3-methylimidazolium chloride
,101,333.15,0.84,1-hexyl-3-methylimidazolium chloride
,101,323.15,2.043,1-methyl-3-octylimidazolium chloride
,101,328.15,1.367,1-methyl-3-octylimidazolium chloride
,101,333.15,0.93,1-methyl-3-octylimidazolium chloride
,101.325,298.15,1,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
,101.325,310.15,0.483,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
,101.325,318.15,0.317,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
,101,298.15,0.196,1-butyl-4-methylpyridinium tetrafluoroborate
,101,313.15,0.081,1-butyl-4-methylpyridinium tetrafluoroborate
,101,323.15,0.0502,1-butyl-4-methylpyridinium tetrafluoroborate
,101,298.15,0.235,triethylammonium hydrogen sulfate
,101,303.15,0.153,triethylammonium hydrogen sulfate
,101,308.15,0.138,triethylammonium hydrogen sulfate
,101,298.15,0.0643,triethylammonium dihydrogen phosphate
,101,303.15,0.0571,triethylammonium dihydrogen phosphate
,101,308.15,0.0495,triethylammonium dihydrogen phosphate
,101,298.15,0.02412,triethylammonium acetate
,101,303.15,0.01964,triethylammonium acetate
,101,308.15,0.01613,triethylammonium acetate
,101,298.15,0.01636,diethylammonium acetate
,101,303.15,0.01364,diethylammonium acetate
,101,308.15,0.01183,diethylammonium acetate
,101,298.15,0.0976,1-ethyl-3-methylimidazolium ethyl sulfate
,101,313.15,0.05,1-ethyl-3-methylimidazolium ethyl sulfate
,101,328.15,0.02918,1-ethyl-3-methylimidazolium ethyl sulfate
,100,298.15,0.0777,"1,3-dimethylimidazolium methylsulfate"
,100,313.15,0.0417,"1,3-dimethylimidazolium methylsulfate"
,100,328.15,0.0252,"1,3-dimethylimidazolium methylsulfate"
,101.325,278.15,0.084,triethyl((2-methoxyethoxy)methyl)phosphonium bis(trifluoromethylsulfonyl)imide
,101.325,283.15,0.065,triethyl((2-methoxyethoxy)methyl)phosphonium bis(trifluoromethylsulfonyl)imide
,101.325,288.15,0.051,triethyl((2-methoxyethoxy)methyl)phosphonium bis(trifluoromethylsulfonyl)imide
,101.325,353.15,0.293,1-hexyl-3-methylimidazolium chloride
,101.325,373.1,0.087,1-hexyl-3-methylimidazolium chloride
,101.325,393.1,0.043,1-hexyl-3-methylimidazolium chloride
,101.325,353.15,0.375,1-methyl-3-octylimidazolium chloride
,101.325,373.1,0.161,1-methyl-3-octylimidazolium chloride
,101.325,393.1,0.081,1-methyl-3-octylimidazolium chloride
,101.325,353.15,0.142,1-butyl-3-methylimidazolium chloride
,101.325,373.1,0.068,1-butyl-3-methylimidazolium chloride
,101.325,393.1,0.031,1-butyl-3-methylimidazolium chloride
